 ANALYZE public.folderdocument_1_prt_tid4070911513_2_prt_month201612; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 3983436 and value (limited to 100 characters): '     F157CE12C96C2C8 GOCcode=10351566 9AD6995D3550230 Departmentcode=Retired09302014 5A973520EC0BD54' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid1246457082_2_prt_month201612; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 3324248 and value (limited to 100 characters): 'BD6DDED72EE40764 SMTP dl.otrc.us.globalcbatcommunications1@imcnam.ssmb.com dl.otrc.us.globalcbatcomm' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid1310165219_2_prt_month201611; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 2038129 and value (limited to 100 characters): ' Departmentcode=Retired09302014 5A973520EC0BD547 Expensecode=  7917BE15ABA58A9C ManagedSegment=23995' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid2068557872_2_prt_month201601; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 41095 and value (limited to 100 characters): 'DC57DE9D7A931893 SMTP ap40880@imceu.eu.ssmb.com ap40880@imceu.eu.ssmb.com FFDED819 imceu.eu.ssmb.com' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid2272465491_2_prt_month201607; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 1796559 and value (limited to 100 characters): '   Expensecode=C10341 83A335E15DF11291 ManagedSegment=12706 1B384B7E8779E7B0 SOEID=SL94180 DCA300E4A' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid2428537202_2_prt_month201607; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 91977 and value (limited to 100 characters): 'FB06C56396E8F52A SMTP aa82227@imceu.eu.ssmb.com aa82227@imceu.eu.ssmb.com FFDED819 imceu.eu.ssmb.com' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid932383258_2_prt_month201604; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 1290285 and value (limited to 100 characters): ' Expensecode=  7917BE15ABA58A9C ManagedSegment=681 A3EBF5619AA24ADC SOEID=DG31125 387A6AC9475D647D G' (string_wrapper.h:95) ===>> -- ===>> 

 ANALYZE public.folderdocument_1_prt_tid2068557872_2_prt_month201605; ===>> ERROR:  Unable to process string for comparison or sorting.  Error: Cannot allocate memory.  String has length 52995 and value (limited to 100 characters): 'D73DDE2CF56AB590 SMTP aa94469@imcap.ap.ssmb.com aa94469@imcap.ap.ssmb.com 67135C3C imcap.ap.ssmb.com' (string_wrapper.h:95) ===>> -- ===>> 

